node1,node2,TP2_T7,TP2_T9,T7,T8,T9
LYN,SNCA,0-1,1-0,0,1,0
CTTN,SYNJ2,0,1-0,1,1,0
BIRC5,NDEL1,0-1,1-0,0,1,0
MRPL16,MRPS35,0-1,1-0,0,1,0
INPP5E,PIK3CD,0-1,0,0,1,1
ARCN1,COPG1,0-1,1-0,0,1,0
RAD51D,XRCC3,0-1,1-0,0,1,0
NRAS,RAPGEF2,0,1-0,1,1,0
MRPL13,MTIF2,0-1,1-0,0,1,0
CARM1,CHD9,0-1,1-0,0,1,0
NOB1,PES1,0-1,1-0,0,1,0
BIRC5,PPP1CC,0-1,1-0,0,1,0
KIF20B,ZW10,1-0,0,1,0,0
CALR,PDIA4,0-1,1-0,0,1,0
SNRPD1,SNRPN,0-1,1-0,0,1,0
MRPL32,MRPS7,0-1,1-0,0,1,0
RPS9,RPSA,0-1,1-0,0,1,0
ALDH1A1,RDH16,0,0,1,1,1
RPL15,RPL6,0-1,1-0,0,1,0
BYSL,NIFK,1-0,0,1,0,0
MRPL12,MRPL37,0-1,1-0,0,1,0
CCNB2,PBK,0,0-1,0,0,1
GDNF,RAP1A,0,0-1,0,0,1
HECW2,UBR4,0-1,1-0,0,1,0
PKM,POLE4,0-1,1-0,0,1,0
FBXO9,KLHL5,0-1,1-0,0,1,0
ANAPC11,UBE2J2,0-1,1-0,0,1,0
ALYREF,HNRNPUL1,0-1,1-0,0,1,0
EIF2S2,EIF2S3,0-1,1-0,0,1,0
MCM2,TYMS,0,0-1,0,0,1
HDAC5,YWHAB,0-1,1-0,0,1,0
ETS1,MAPK3,0-1,1-0,0,1,0
BHLHE40,HIF1A,0,0-1,0,0,1
PXN,VCL,0-1,1-0,0,1,0
GTF2H1,POLD1,0-1,1-0,0,1,0
NOL6,RRP12,0-1,1-0,0,1,0
CDK1,PCNA,0,0-1,0,0,1
CCNB1,H2AFJ,0-1,1-0,0,1,0
ELAVL2,SF3B2,0-1,1-0,0,1,0
ESR1,MPG,0-1,1-0,0,1,0
HDAC7,VEGFA,0-1,1-0,0,1,0
SF3B5,SNRPD1,0-1,1-0,0,1,0
HNRNPF,SNRPB2,0-1,1-0,0,1,0
HSP90AB1,HSPA13,0,0-1,0,0,1
MRTO4,RPL35,1-0,0,1,0,0
SF3B2,SRSF2,0-1,1-0,0,1,0
CBX3,MTA2,0-1,1-0,0,1,0
GRPEL2,TIMM50,0,0,1,1,1
MRPL1,MRPL18,0-1,1-0,0,1,0
CBL,VAMP2,0-1,1-0,0,1,0
POLA1,POLD1,0-1,1-0,0,1,0
FBXL14,FBXL5,0,0-1,0,0,1
CWC27,SRSF5,0-1,1-0,0,1,0
APBB1,H2AFX,0-1,1-0,0,1,0
CLTA,SYNJ2,0,1-0,1,1,0
CDK1,HAUS6,0,0-1,0,0,1
HNRNPM,PTBP1,0-1,1-0,0,1,0
CHEK1,FAAP100,0-1,1-0,0,1,0
EIF2A,EIF3A,0-1,1-0,0,1,0
RNF7,UBA52,0,1-0,1,1,0
RAB5B,SYNJ2,0-1,1-0,0,1,0
COG2,NSF,0,0-1,0,0,1
CEBPZ,ESF1,0-1,1-0,0,1,0
LSM7,PPIL1,0-1,1-0,0,1,0
H2AFZ,PHC2,0-1,1-0,0,1,0
GEMIN4,STRAP,0-1,1-0,0,1,0
BCAR1,DOCK1,0-1,1-0,0,1,0
CDC5L,ELAVL2,0-1,1-0,0,1,0
TADA3,TAF5,0-1,1-0,0,1,0
LDLRAP1,RAB5A,0-1,0,0,1,1
BAMBI,FKBP1A,0,0,1,1,1
HNRNPA3,YBX1,0-1,1-0,0,1,0
MRPL23,MRPL24,0-1,1-0,0,1,0
CTSZ,SAR1B,0-1,0,0,1,1
HRAS,YWHAQ,0-1,1-0,0,1,0
ALYREF,HNRNPD,0-1,1-0,0,1,0
ELAVL1,SNRPN,0-1,1-0,0,1,0
COL4A1,ITGA2,0-1,0,0,1,1
NCBP1,SF3A3,0-1,1-0,0,1,0
MRTO4,RPS9,0-1,1-0,0,1,0
GNA15,NTSR1,1-0,0-1,1,0,1
BMS1,NOC4L,0-1,1-0,0,1,0
CDK1,FOXM1,0,0-1,0,0,1
PCNA,POLD4,0,1-0,1,1,0
KIF2A,TMED2,0-1,1-0,0,1,0
NIFK,SDAD1,0,1-0,1,1,0
AMPH,AP2M1,0,0-1,0,0,1
GAB2,MAP2K1,0-1,1-0,0,1,0
ARFGAP3,YKT6,0-1,1-0,0,1,0
LSM3,SNRPB2,0-1,1-0,0,1,0
PRKACB,RHOA,0-1,1-0,0,1,0
ERCC1,PRKDC,0,1-0,1,1,0
CUL1,LONRF1,0,0,1,1,1
CSNK1D,MCFD2,0-1,1-0,0,1,0
ITGA4,PRKACB,0-1,1-0,0,1,0
RPL18,RPL27,0-1,1-0,0,1,0
RACK1,RPS3,0-1,1-0,0,1,0
SF1,SF3B3,0,1-0,1,1,0
GBP2,IRF5,0-1,1-0,0,1,0
CENPQ,STAG1,0-1,1-0,0,1,0
ACTR2,MYO10,0-1,1-0,0,1,0
